Thông tin chi tiết về chi phí,Danh mục,Ngân sách,Chi phí,Ngày giao dịch,Status,Ghi chú
Số dư,Vốn,33.860.000 đ,,01/02/2026,TRUE,
tết 2026,Khác,75.750.000 đ,33.840.000 đ,,TRUE,Dự trù
phi dụ M,Phi dụ,4.000.000 đ,,01/02/2026,TRUE,
đổ xăng,Đi lại,,70.000 đ,01/02/2026,TRUE,
trả tiền cà phê,Cho gia đình,,70.000 đ,01/02/2026,TRUE,
đưa chồng tm,Khác,,240.000 đ,01/02/2026,TRUE,
tiền trứng trả dùm nội,Cho gia đình,,140.000 đ,01/02/2026,TRUE,
cty cho tiền sinh nhật,Khác,1.000.000 đ,,05/02/2026,TRUE,
đãi sn cty,Khác,,560.000 đ,05/02/2026,TRUE,
phi dụ TN,Vốn,2.500.000 đ,,05/02/2026,TRUE,
Hạ mừng sn ,Khác,1.000.000 đ,,05/02/2026,TRUE,
Tiền máy sấy,Cho gia đình,,1.560.000 đ,05/02/2026,TRUE,
Phi dụ H,Phi dụ,1.000.000 đ,,06/02/2026,TRUE,
Khám thai,Khác,,1.850.000 đ,07/02/2026,TRUE,
đổ xăng,Đi lại,,70.000 đ,06/02/2026,TRUE,
đưa chồng tm,Khác,,430.000 đ,07/02/2026,TRUE,
cọc gói sinh ,Khác,,1.000.000 đ,07/02/2026,TRUE,
Bách hoá xanh cho nội,Cho gia đình,,340.000 đ,08/02/2026,TRUE,
Hụi lần 7,Đầu tư,,4.250.000 đ,10/02/2026,TRUE,
Bình mừng sn,Khác,500.000 đ,,10/02/2026,TRUE,
đổ xăng,Đi lại,,70.000 đ,12/02/2026,TRUE,
Tiền cf,Ăn uống,,100.000 đ,,TRUE,
Phi dụ H,Phi dụ,2.000.000 đ,,16/02/2026,TRUE,
Quỳnh trả tiền dâu,Thu nợ,600.000 đ,,16/02/2026,TRUE,
Khám thai,Khác,,250.000 đ,22/02/2026,TRUE,
tiền giày,Mua sắm,,450.000 đ,23/02/2026,TRUE,
mua đồ đà lạt,Mua sắm,,1.000.000 đ,24/02/2026,TRUE,
travel,Khác,,6.937.000 đ,04/03/2026,TRUE,
phi dụ Th,Phi dụ,2.000.000 đ,0 đ,28/02/2026,TRUE,
Khám VGB,Khác,,1.126.000 đ,26/02/2026,TRUE,
,,"124.210.000,00 đ","54.353.000,00 đ",,,"69.857.000,00 đ"
