Thông tin chi tiết về chi phí,Danh mục,Ngân sách,Chi phí,Ngày giao dịch,Status,Ghi chú
dư tháng 10,Vốn,65.000.000 đ,,01/11/2025,TRUE,
ăn trưa ( bún đậu),Ăn uống,,65.000 đ,01/11/2025,TRUE,
mua hoa,Cho gia đình,,130.000 đ,01/11/2025,TRUE,
khám thai,Khác,,3.800.000 đ,01/11/2025,TRUE,
đóng tiền máy sấy lần 4,Cho gia đình,,1.560.000 đ,02/11/2025,TRUE,
mua srm+ chuyển chồng,Mua sắm,,1.000.000 đ,02/11/2025,TRUE,
grab,Đi lại,,45.000 đ,03/11/2025,TRUE,
ăn sáng + ăn xế,Ăn uống,,50.000 đ,03/11/2025,TRUE,
ăn trưa ,Ăn uống,,40.000 đ,04/11/2025,TRUE,
rút tm,Khác,,400.000 đ,04/11/2025,TRUE,
ăn trưa,Ăn uống,,60.000 đ,05/11/2025,TRUE,
ăn trưa,Ăn uống,,50.000 đ,06/11/2025,TRUE,
Phi dụ TN,Phi dụ,2.300.000 đ,,06/11/2025,TRUE,
ăn trưa,Ăn uống,,50.000 đ,07/11/2025,TRUE,
bánh canh cá ăn tối cả nhà,Ăn uống,,90.000 đ,07/11/2025,TRUE,
rút tm,Khác,,500.000 đ,08/11/2025,TRUE,"mua hoa 130, đổ xăng 70, trái cây 70, gỏi cuốn 20, đi chợ 50"
mừng sn Bình,Khác,,500.000 đ,09/11/2025,TRUE,
bách hoá xanh,Cho gia đình,,800.000 đ,09/11/2025,TRUE,
chồng chuyển,Vốn,10.000.000 đ,,10/11/2025,TRUE,
bhx mua bánh,Ăn uống,,190.000 đ,10/11/2025,TRUE,
đóng hụi lần 4,Đầu tư,,4.250.000 đ,10/11/2025,TRUE,
miếng dán mụn,Mua sắm,,100.000 đ,10/11/2025,TRUE,
Lương t10,Vốn,9.000.000 đ,,10/11/2025,TRUE,
quà sn mẹ,Cho gia đình,,1.000.000 đ,11/10/2025,TRUE,
váy bầu,Mua sắm,,200.000 đ,11/10/2025,TRUE,
ăn trưa,Ăn uống,,55.000 đ,12/11/2025,TRUE,
Phi dụ H,Phi dụ,1.000.000 đ,,12/11/2025,TRUE,
khám thai,Khác,,4.700.000 đ,12/11/2025,TRUE,
rút tm,Khác,,500.000 đ,13/11/2025,TRUE,"trả tiền cà hê 200, "
mua thẻ đt,Mua sắm,,50.000 đ,13/11/2025,TRUE,
ăn trưa,Ăn uống,,50.000 đ,14/11/2025,TRUE,
Phi dụ H,Phi dụ,500.000 đ,,14/11/2025,TRUE,
bánh bèo cho mẹ,Cho gia đình,,50.000 đ,14/11/2025,TRUE,
thanh toán cước vận chuyển,Khác,,155.000 đ,14/11/2025,TRUE,?????
bánh kem cho Linh,Khác,,90.000 đ,15/11/2025,TRUE,
ăn sinh nhật Linh,Khác,,100.000 đ,15/11/2025,TRUE,
ăn trưa,Ăn uống,,50.000 đ,18/11/2025,TRUE,
ăn trưa,Ăn uống,,44.000 đ,19/11/2025,TRUE,
táo cho mẹ,Cho gia đình,,200.000 đ,19/11/2025,TRUE,
phi dụ M,Phi dụ,2.000.000 đ,,19/11/2025,TRUE,
