Thông tin chi tiết về chi phí,Danh mục,Ngân sách,Chi phí,Ngày giao dịch,Status,Ghi chú
Dư tháng 9,Vốn,4.800.000 đ,,01/10/2025,TRUE,
bột lăn nách,Mua sắm,,130.000 đ,01/10/2025,TRUE,
trái cây,Cho gia đình,,350.000 đ,01/10/2025,TRUE,
đóng tiền máy sấy lần 3,Cho gia đình,,1.560.000 đ,01/10/2025,TRUE,
mua tông đơ cho ngoại,Cho gia đình,,200.000 đ,01/10/2025,TRUE,
bún đậu,Ăn uống,,60.000 đ,02/10/2025,TRUE,
mua bánh ăn sáng+ ăn xế,Ăn uống,,54.000 đ,03/10/2025,TRUE,
bách hoá xanh ( sữa + mì ),Ăn uống,,120.000 đ,03/10/2025,TRUE,
Phi dụ TN,Vốn,4.000.000 đ,,04/10/2025,TRUE,
bánh bột lọc,Cho gia đình,,170.000 đ,04/10/2025,TRUE,
mua hoa,Cho gia đình,,130.000 đ,04/10/2025,TRUE,
cho Khôi,Cho gia đình,,100.000 đ,05/10/2025,TRUE,
đi khám thai,Khác,,400.000 đ,04/10/2025,TRUE,
chuyển chồng,Khác,,600.000 đ,04/10/2025,TRUE,
ăn uống 3 ngày,Ăn uống,,250.000 đ,,TRUE,
bách hoá xanh ( bánh+ xịt nách),Mua sắm,,450.000 đ,09/10/2025,TRUE,
đổ xăng,Đi lại,,80.000 đ,09/10/2025,TRUE,
chồng chuyển,Vốn,65.000.000 đ,,10/10/2025,TRUE,
gửi mẹ,Cho gia đình,,5.000.000 đ,10/10/2025,TRUE,
máy lọc không khí,Cho gia đình,,2.000.000 đ,10/10/2025,TRUE,
đóng hụi lần 3,Đầu tư,,4.250.000 đ,10/10/2025,TRUE,
ăn xế,Ăn uống,,40.000 đ,10/10/2025,TRUE,
grab về mẹ,Đi lại,,55.000 đ,10/10/2025,TRUE,
mua chè,Ăn uống,,90.000 đ,10/10/2025,TRUE,
gội đầu,Giải trí,,100.000 đ,10/10/2025,TRUE,
Lương t9,Vốn,8.340.000 đ,,11/10/2025,TRUE,
bách hoá xanh ( sữa ),Ăn uống,,135.000 đ,11/10/2025,TRUE,
mua hoa,Cho gia đình,,130.000 đ,11/10/2025,TRUE,
mua đồ ăn trưa,Ăn uống,,70.000 đ,11/10/2025,TRUE,
phi dụ M,Vốn,2.000.000 đ,,13/10/2025,TRUE,
ăn trưa,Ăn uống,,45.000 đ,14/10/2025,TRUE,
giấy rút,Cho gia đình,,135.000 đ,15/10/2025,TRUE,
ăn sáng+ ăn xế,Ăn uống,,60.000 đ,16/10/2025,TRUE,
ổi,Ăn uống,,25.000 đ,16/10/2025,TRUE,
nem,Cho gia đình,,60.000 đ,16/10/2025,TRUE,
nón bảo hiểm,Mua sắm,,450.000 đ,16/10/2025,TRUE,
đóng học phí,Khác,,1.200.000 đ,16/10/2025,TRUE,
ăn trưa,Ăn uống,,50.000 đ,17/10/2025,TRUE,
đi grab,Đi lại,,52.000 đ,17/10/2025,TRUE,
ăn tối,Ăn uống,,100.000 đ,17/10/2025,TRUE,
sữa chua ,Ăn uống,,46.000 đ,18/10/2025,TRUE,
mua hoa,Cho gia đình,,130.000 đ,18/10/2025,TRUE,
đổi TM Ánh,Khác,,200.000 đ,19/10/2025,TRUE,
chuyển chồng,Khác,,300.000 đ,19/10/2025,TRUE,
mua đồ bầu + giày,Mua sắm,,700.000 đ,19/10/2025,TRUE,
quà 20/10,Khác,1.000.000 đ,,20/10/2025,TRUE,
đổi TM,Khác,,1.000.000 đ,21/10/2025,TRUE,
ăn trưa,Ăn uống,,43.000 đ,21/10/2025,TRUE,
phi dụ M,Phi dụ,2.000.000 đ,,21/10/2025,TRUE,
quà cho 3 mẹ,Cho gia đình,,960.000 đ,21/10/2025,TRUE,
